completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,fac_count,add_fac_count,nearby_ktm_lrt
,900,Alam,Apartment,3,2,2,800,Not Furnished,Selangor,,1,no
,600,Perdana,Flat,3,,2,650,Not Furnished,Selangor,3,2,yes
,1350,Kembangan,Condominium,3,2,2,854,Partially Furnished,Selangor,10,2,no
,1100,Alam,Apartment,2,1,2,536,Partially Furnished,Selangor,3,3,no
2006,1200,Perdana,Condominium,1,1,1,406,Fully Furnished,Selangor,9,3,no
2010,1300,Perdana,Condominium,1,,1,421,Fully Furnished,Selangor,6,2,no
,950,Balakong,Apartment,3,1,2,850,Not Furnished,Selangor,4,,
2010,1250,Perdana,Condominium,1,1,1,435,Fully Furnished,Selangor,6,4,yes
,750,Ampang,Apartment,3,,1,650,Not Furnished,Selangor,2,2,yes
2016,1499,Kembangan,Condominium,3,2,2,1060,Partially Furnished,Selangor,11,5,yes
,1099,Kembangan,Condominium,2,2,2,1500,Partially Furnished,Selangor,9,3,yes
,1499,Kembangan,Condominium,2,2,2,1500,Fully Furnished,Selangor,9,3,yes
,1199,South,Condominium,2,2,2,1398,Partially Furnished,Selangor,8,3,yes
,1800,Cheras,Condominium,4,2,4,1792,Partially Furnished,Selangor,12,1,no
2021,1500,360,Condominium,2,1,2,650,Partially Furnished,Selangor,11,3,yes
,1200,Cheras,Apartment,3,2,2,1021,Partially Furnished,Selangor,,,
,2100,City,Condominium,2,,2,725,Fully Furnished,Selangor,,,
,550,Alam,Apartment,3,2,1,650,Not Furnished,Selangor,2,,
2010,2000,Jaya,Service Residence,2,1,2,625,Fully Furnished,Selangor,11,4,yes
2021,1800,Jaya,Service Residence,2,2,1,718,Partially Furnished,Selangor,11,2,no
,900,Kembangan,Apartment,3,1,2,960,Partially Furnished,Selangor,5,,
2020,1199,Cyberjaya,Service Residence,1,1,1,450,Fully Furnished,Selangor,5,3,no
,1200,Cyberjaya,Condominium,1,1,1,551,Fully Furnished,Selangor,14,4,yes
,950,Balakong,Apartment,3,,2,850,Partially Furnished,Selangor,4,1,yes
2017,1600,Kembangan,Service Residence,2,2,2,966,Fully Furnished,Selangor,8,,
,950,Kembangan,Apartment,3,1,2,834,Partially Furnished,Selangor,2,1,no
2020,1900,Damansara,Duplex,1,,2,795,Fully Furnished,Selangor,14,4,yes
2014,1700,Alam,Condominium,2,1,2,863,Fully Furnished,Selangor,9,2,no
,1000,Kajang,Condominium,3,1,2,990,Partially Furnished,Selangor,4,1,no
,1600,Alam,Apartment,3,2,2,920,Fully Furnished,Selangor,,,
,600,Cheras,Flat,3,,2,650,Not Furnished,Selangor,,,
2002,1500,Cyberjaya,Condominium,5,3,4,1900,Partially Furnished,Selangor,11,2,no
,2300,Alam,Service Residence,3,2,3,1357,Partially Furnished,Selangor,7,3,yes
2015,1000,Alam,Apartment,3,2,2,939,Not Furnished,Selangor,12,1,no
,1700,Bangi,Service Residence,3,2,2,1017,Fully Furnished,Selangor,10,3,no
2018,1000,Putra,Service Residence,2,2,2,947,Partially Furnished,Selangor,9,1,no
2016,1300,Balakong,Service Residence,3,2,2,1248,Partially Furnished,Selangor,7,3,no
2020,1950,Damansara,Duplex,3,2,2,929,Partially Furnished,Selangor,14,4,yes
,1100,Kajang,Condominium,3,2,2,1041,Not Furnished,Selangor,5,,
,900,Bangi,Service Residence,3,2,2,956,Not Furnished,Selangor,,2,no
,1000,Bangi,Service Residence,3,2,2,956,Not Furnished,Selangor,,2,no
2021,3000,360,Condominium,3,2,3,957,Partially Furnished,Selangor,7,4,yes
,1000,Bangi,Service Residence,3,2,2,956,Not Furnished,Selangor,,2,no
2011,2000,Jaya,Condominium,3,3,2,1200,Fully Furnished,Selangor,8,,
,1400,Cheras,Service Residence,3,2,2,1276,Not Furnished,Selangor,6,2,yes
2005,1800,Damansara,Apartment,3,1,2,1001,Partially Furnished,Selangor,,,
2015,1150,Alam,Apartment,3,,2,815,Not Furnished,Selangor,10,,
,1200,Ampang,Apartment,3,,1,732,Partially Furnished,Selangor,1,1,no
,1300,Jaya,Service Residence,1,,1,374,Partially Furnished,Selangor,5,3,no
,850,Kembangan,Apartment,3,1,2,1000,Partially Furnished,Selangor,5,2,yes
2013,1100,Cyberjaya,Condominium,1,1,1,500,Fully Furnished,Selangor,7,4,yes
2004,850,Puchong,Apartment,3,,2,800,Partially Furnished,Selangor,2,,
2011,1750,Puchong,Condominium,3,2,2,1223,Partially Furnished,Selangor,11,4,yes
,1000,Klang,Apartment,3,1,2,850,Not Furnished,Selangor,,,
2010,900,Kinrara,Service Residence,3,1,2,712,Partially Furnished,Selangor,6,,
,1250,Damansara,Condominium,2,1,2,750,Partially Furnished,Selangor,8,4,yes
,1099,Puchong,Condominium,3,2,2,1055,Partially Furnished,Selangor,,4,yes
2018,2500,Cyberjaya,Service Residence,3,2,2,950,Fully Furnished,Selangor,,,
2017,1200,389,Service Residence,3,2,2,1152,Partially Furnished,Selangor,13,3,yes
2017,1300,389,Service Residence,3,2,2,1152,Partially Furnished,Selangor,12,4,yes
2004,800,Kembangan,Condominium,1,1,1,450,Fully Furnished,Selangor,5,4,yes
,880,Puchong,Apartment,3,1,2,890,Partially Furnished,Selangor,5,2,no
2017,1150,Cyberjaya,Service Residence,3,,1,980,Fully Furnished,Selangor,2,3,yes
,900,Puchong,Apartment,3,,2,800,Partially Furnished,Selangor,3,,
2015,1099,Kajang,Condominium,3,,2,1350,Partially Furnished,Selangor,7,2,no
2020,3000,Alam,Service Residence,3,,2,985,Fully Furnished,Selangor,12,3,no
2013,1900,Perdana,Service Residence,3,1,2,1200,Partially Furnished,Selangor,1,4,yes
,1600,Cheras,Apartment,3,,2,854,Fully Furnished,Selangor,,,
,1600,Cheras,Condominium,4,2,3,1400,Partially Furnished,Selangor,14,,
,950,Perdana,Apartment,3,2,2,850,Partially Furnished,Selangor,3,,
2013,1350,Perdana,Service Residence,1,1,2,750,Fully Furnished,Selangor,1,4,yes
2015,1100,Perdana,Condominium,1,1,1,450,Not Furnished,Selangor,,3,yes
2020,1700,Perdana,Condominium,3,,2,1025,Partially Furnished,Selangor,11,3,yes
2013,1250,Perdana,Service Residence,1,1,2,750,Fully Furnished,Selangor,1,4,yes
2015,1200,Perdana,Condominium,1,1,2,900,Partially Furnished,Selangor,,5,yes
2021,1500,Cyberjaya,Condominium,3,,2,950,Fully Furnished,Selangor,8,3,no
,2400,Damansara,Service Residence,3,2,2,1250,Fully Furnished,Selangor,6,3,no
2016,2000,Cyberjaya,Condominium,2,2,2,954,Fully Furnished,Selangor,9,3,no
2015,950,Perdana,Condominium,1,1,1,460,Fully Furnished,Selangor,,5,yes
2010,1000,Perdana,Condominium,1,1,1,421,Fully Furnished,Selangor,6,4,yes
2010,1000,Perdana,Condominium,1,1,1,421,Fully Furnished,Selangor,6,4,yes
2020,2600,Perdana,Condominium,3,2,2,1020,Fully Furnished,Selangor,10,4,yes
2015,950,Perdana,Condominium,1,1,1,460,Fully Furnished,Selangor,,5,yes
2013,1350,Perdana,Service Residence,1,1,1,450,Fully Furnished,Selangor,1,5,yes
,1800,Klang,Condominium,3,2,2,900,Fully Furnished,Selangor,8,3,no
,1600,Ampang,Condominium,1,,1,450,Fully Furnished,Selangor,5,3,no
2014,1600,USJ,Service Residence,2,,1,615,Fully Furnished,Selangor,,,
2021,2000,Cyberjaya,Condominium,3,2,2,1010,Fully Furnished,Selangor,,,
2016,1200,Cyberjaya,Condominium,1,1,1,452,Partially Furnished,Selangor,6,4,yes
2016,1200,Cyberjaya,Condominium,1,1,1,425,Fully Furnished,Selangor,11,4,yes
2013,1500,Cyberjaya,Condominium,3,2,2,1025,Partially Furnished,Selangor,8,3,yes
2013,1600,Cyberjaya,Condominium,3,2,2,1025,Fully Furnished,Selangor,10,4,yes
,1000,Alam,Apartment,3,2,2,800,Not Furnished,Selangor,,1,no
,1800,Jaya,Service Residence,2,,2,895,Fully Furnished,Selangor,3,3,no
,1400,Kembangan,Studio,1,1,1,450,Fully Furnished,Selangor,10,4,yes
,1350,Puchong,Condominium,3,1,2,1076,Partially Furnished,Selangor,7,2,no
,1300,Jaya,Apartment,3,1,2,1008,Partially Furnished,Selangor,14,3,yes
2000,750,Cheras,Condominium,2,1,1,765,Not Furnished,Selangor,8,,
,800,Kembangan,Apartment,3,,2,830,Not Furnished,Selangor,6,,
,1800,Jaya,Condominium,3,1,2,1100,Not Furnished,Selangor,8,2,yes
2011,1700,Jaya,Service Residence,1,1,1,635,Fully Furnished,Selangor,9,4,no
2012,1500,Puchong,Condominium,2,1,2,1050,Fully Furnished,Selangor,12,3,no
1996,1500,Damansara,Condominium,3,1,2,811,Fully Furnished,Selangor,6,4,yes
,850,Kajang,Apartment,3,1,2,947,Partially Furnished,Selangor,8,2,no
,1000,Puchong,Apartment,3,1,2,950,Not Furnished,Selangor,5,1,no
2018,1500,Klang,Service Residence,2,,2,750,Partially Furnished,Selangor,,,
2019,1550,Rawang,Condominium,3,,2,830,Partially Furnished,Selangor,11,2,no
,800,Kembangan,Apartment,3,,1,750,Not Furnished,Selangor,,,
2004,1100,Puchong,Apartment,3,,2,850,Partially Furnished,Selangor,4,1,no
2017,1200,Kajang,Condominium,3,2,2,1118,Fully Furnished,Selangor,10,1,no
,750,Kajang,Apartment,3,1,2,1024,Not Furnished,Selangor,2,,
,1300,Alam,Apartment,3,,2,1100,Partially Furnished,Selangor,5,3,yes
2016,349898,Semenyih,Condominium,3,2,2,1050,Partially Furnished,Selangor,11,1,no
2022,1200,Sepang,Service Residence,2,2,1,650,Partially Furnished,Selangor,11,4,no
,1000,Klang,Apartment,3,,2,850,Partially Furnished,Selangor,,,
2020,1950,Damansara,Service Residence,3,2,2,929,Partially Furnished,Selangor,,,
,1200,Kembangan,Service Residence,3,1,2,1258,Fully Furnished,Selangor,12,5,yes
2018,2200,Klang,Service Residence,3,2,2,900,Partially Furnished,Selangor,11,3,no
,700,Jaya,Apartment,3,2,2,650,Not Furnished,Selangor,9,3,yes
2014,1200,Caves,Service Residence,3,2,2,1012,Partially Furnished,Selangor,8,3,yes
2020,1199,Alam,Apartment,3,2,2,900,Partially Furnished,Selangor,14,,
,500,Damansara,Apartment,3,,2,650,Partially Furnished,Selangor,7,3,yes
,127898,Langat,Flat,3,,2,650,Not Furnished,Selangor,3,2,yes
,950,Caves,Apartment,3,1,2,870,Partially Furnished,Selangor,7,3,yes
2009,2100,Damansara,Condominium,3,1,2,1147,Partially Furnished,Selangor,9,,
,1350,Puchong,Condominium,3,2,2,883,Not Furnished,Selangor,8,2,no
2018,1000,Jenjarom,Service Residence,3,2,2,1048,Not Furnished,Selangor,14,1,no
,1600,Cheras,Service Residence,2,,2,704,Partially Furnished,Selangor,14,5,yes
,1000,Alam,Apartment,3,2,2,920,Partially Furnished,Selangor,13,5,yes
,1800,Jaya,Apartment,3,1,2,900,Not Furnished,Selangor,8,,
,1000,Alam,Apartment,3,1,2,850,Partially Furnished,Selangor,3,,
2022,2000,Jaya,Service Residence,2,,2,797,Partially Furnished,Selangor,6,,
2013,1700,Cyberjaya,Condominium,3,2,2,1028,Fully Furnished,Selangor,10,3,no
2018,850,Alam,Condominium,1,1,1,250,Partially Furnished,Selangor,9,1,no
2001,1800,Alam,Condominium,3,1,2,1046,Partially Furnished,Selangor,9,,
2003,1100,Damansara,Apartment,3,1,2,750,Not Furnished,Selangor,4,2,yes
,1199,Cyberjaya,Apartment,3,2,2,1000,Partially Furnished,Selangor,5,,
2021,190000,Jaya,Apartment,3,1,2,852,Partially Furnished,Selangor,7,2,no
,2000,Klang,Service Residence,3,2,2,1065,Partially Furnished,Selangor,9,3,yes
,2000,Tinggi,Condominium,3,3,2,1100,Partially Furnished,Selangor,9,3,yes
2021,1400,Puchong,Service Residence,2,2,2,883,Partially Furnished,Selangor,10,1,no
2020,2300,Alam,Service Residence,3,2,2,985,Partially Furnished,Selangor,12,,
2019,2300,Cheras,Service Residence,3,2,2,1300,Fully Furnished,Selangor,11,,
,750,Alam,Apartment,3,,2,680,Not Furnished,Selangor,2,1,no
,1400,Caves,Service Residence,3,3,3,1203,Partially Furnished,Selangor,5,2,no
2021,2000,Impian,Condominium,2,1,2,650,Fully Furnished,Selangor,6,3,no
,1300,Cyberjaya,Service Residence,3,1,2,950,Partially Furnished,Selangor,6,3,no
2021,1900,Cyberjaya,Condominium,3,2,2,1000,Partially Furnished,Selangor,,3,no
2019,1000,Kajang,Apartment,3,2,2,1050,Not Furnished,Selangor,13,,
,1999,Cyberjaya,Service Residence,3,2,2,1000,Fully Furnished,Selangor,11,3,no
,2299,Cyberjaya,Service Residence,2,2,2,750,Fully Furnished,Selangor,11,4,no
2015,1100,Cyberjaya,Condominium,1,1,1,450,Fully Furnished,Selangor,7,3,no
,850,Puchong,Apartment,3,1,2,738,Not Furnished,Selangor,5,2,no
,1000,Puchong,Apartment,3,1,2,738,Not Furnished,Selangor,5,2,no
,600,Alam,Flat,3,,1,654,Partially Furnished,Selangor,,2,no
2001,800,Kajang,Condominium,3,,2,900,Not Furnished,Selangor,6,3,yes
2022,1250,Sepang,Service Residence,2,,1,646,Partially Furnished,Selangor,7,2,no
1999,1250,Sunway,Condominium,2,1,1,992,Fully Furnished,Selangor,11,3,no
,500,Caves,Apartment,3,,1,600,Not Furnished,Selangor,2,,
2016,1200,Cyberjaya,Condominium,1,1,1,500,Fully Furnished,Selangor,,3,no
2014,1700,Cyberjaya,Condominium,2,2,2,1000,Fully Furnished,Selangor,12,3,no
,1299,Cyberjaya,Condominium,1,1,1,500,Fully Furnished,Selangor,11,3,no
,1300,Cyberjaya,Condominium,1,1,1,500,Fully Furnished,Selangor,11,3,no
2006,1800,Alam,Condominium,3,1,2,1400,Fully Furnished,Selangor,6,2,no
,800,Damai,Apartment,3,,2,650,Not Furnished,Selangor,,,
,700,Ampang,Apartment,2,1,1,700,Not Furnished,Selangor,2,1,no
2016,2200,Cyberjaya,Condominium,2,2,2,990,Fully Furnished,Selangor,10,4,no
2018,1799,Cyberjaya,Service Residence,3,2,2,1000,Fully Furnished,Selangor,,3,no
2018,1800,Cyberjaya,Service Residence,3,2,2,1000,Fully Furnished,Selangor,,3,no
2017,999,Cyberjaya,Condominium,1,1,1,450,Fully Furnished,Selangor,,3,no
2022,2500,Cyberjaya,Condominium,3,2,2,1000,Fully Furnished,Selangor,6,3,no
2016,1300,Cyberjaya,Condominium,1,1,1,500,Partially Furnished,Selangor,,4,no
2022,2500,Cyberjaya,Condominium,3,2,2,1000,Fully Furnished,Selangor,6,3,no
2017,999,Cyberjaya,Condominium,1,1,1,450,Fully Furnished,Selangor,,3,no
,750,Kajang,Apartment,3,,2,670,Partially Furnished,Selangor,1,1,no
2018,2000,Klang,Service Residence,2,,2,858,Fully Furnished,Selangor,9,,
2021,2500,Kembangan,Service Residence,4,2,2,1055,Partially Furnished,Selangor,10,4,yes
2018,2200,Cyberjaya,Apartment,2,2,2,900,Fully Furnished,Selangor,,3,no
2014,999,Cyberjaya,Condominium,1,,1,600,Fully Furnished,Selangor,,,
,800,Rawang,Apartment,3,2,2,750,Not Furnished,Selangor,,,
2020,1800,Damansara,Condominium,2,1,1,600,Fully Furnished,Selangor,11,4,yes
2017,2800,Damansara,Service Residence,3,2,2,1020,Fully Furnished,Selangor,9,5,yes
2015,900,Cyberjaya,Service Residence,2,1,2,450,Fully Furnished,Selangor,10,4,yes
2017,1100,Semenyih,Service Residence,3,2,2,890,Partially Furnished,Selangor,7,1,no
2010,1600,Klang,Condominium,3,,2,1098,Partially Furnished,Selangor,7,1,no
,2500,Damansara,Service Residence,3,2,2,1260,Fully Furnished,Selangor,,,
2015,900,Cyberjaya,Service Residence,2,1,2,450,Fully Furnished,Selangor,10,4,yes
2006,1300,Jaya,Apartment,3,,2,700,Fully Furnished,Selangor,6,4,yes
2018,2199,Cyberjaya,Apartment,2,2,2,900,Fully Furnished,Selangor,,3,no
,800,Caves,Apartment,3,,2,750,Partially Furnished,Selangor,5,5,yes
2019,1950,Damai,Service Residence,4,2,2,1109,Fully Furnished,Selangor,11,4,yes
,1000,Jaya,Flat,3,,2,650,Fully Furnished,Selangor,2,,
2015,950,Cyberjaya,Service Residence,3,1,2,450,Fully Furnished,Selangor,10,4,yes
2015,950,Cyberjaya,Service Residence,3,1,2,450,Fully Furnished,Selangor,10,4,yes
2016,1700,Kajang,Duplex,1,1,2,930,Not Furnished,Selangor,10,1,no
2018,1100,Putra,Service Residence,3,2,2,1048,Partially Furnished,Selangor,13,2,yes
,550,Kajang,Apartment,2,,1,700,Not Furnished,Selangor,,,
2017,1500,Kajang,Service Residence,2,1,2,830,Fully Furnished,Selangor,14,5,yes
,1200,Klang,Apartment,3,,2,1150,Not Furnished,Selangor,3,,
2021,2500,Kembangan,Service Residence,4,2,2,1230,Fully Furnished,Selangor,7,5,yes
2014,900,Semenyih,Apartment,3,,2,800,Partially Furnished,Selangor,7,,
,2499,Cyberjaya,Condominium,3,2,2,1398,Fully Furnished,Selangor,11,3,no
,1700,Cyberjaya,Service Residence,2,2,2,750,Fully Furnished,Selangor,11,3,no
2014,1700,Cyberjaya,Condominium,2,2,2,1000,Fully Furnished,Selangor,12,3,no
2022,2500,Cyberjaya,Condominium,3,2,2,1000,Fully Furnished,Selangor,6,3,no
2022,2499,Cyberjaya,Condominium,3,2,2,1000,Fully Furnished,Selangor,6,3,no
,1200,Cyberjaya,Service Residence,1,1,1,500,Fully Furnished,Selangor,9,3,no
,1250,Damansara,Apartment,3,1,2,800,Partially Furnished,Selangor,5,2,no
2017,1350,City,Service Residence,2,,1,586,Fully Furnished,Selangor,4,2,no
2022,1600,Dengkil,Service Residence,2,1,2,650,Fully Furnished,Selangor,10,2,no
,1200,Alam,Apartment,3,,2,850,Not Furnished,Selangor,5,,
,700,Damai,Apartment,3,1,2,700,Not Furnished,Selangor,6,,
,850,Kajang,Apartment,3,1,2,750,Not Furnished,Selangor,2,1,no
,1300,Alam,Apartment,3,,2,900,Fully Furnished,Selangor,3,3,yes
2001,800,Cheras,Condominium,1,1,1,450,Not Furnished,Selangor,4,,
,900,Alam,Apartment,1,1,2,430,Not Furnished,Selangor,7,2,no
2021,1500,Sunway,Service Residence,2,1,1,581,Partially Furnished,Selangor,9,5,yes
,650,Cheras,Apartment,2,,1,750,Partially Furnished,Selangor,,,
,900,Alam,Apartment,1,,1,475,Not Furnished,Selangor,,,
,580,Kembangan,Flat,3,,1,700,Not Furnished,Selangor,4,1,yes
2013,850,Dengkil,Apartment,3,,2,815,Partially Furnished,Selangor,8,2,no
,500,Caves,Flat,3,,1,600,Partially Furnished,Selangor,2,,
2017,1800,Damansara,Service Residence,1,1,1,449,Fully Furnished,Selangor,12,5,yes
2017,1900,Alam,Service Residence,2,2,2,782,Fully Furnished,Selangor,6,2,no
2017,2000,Alam,Service Residence,4,2,3,1300,Not Furnished,Selangor,,2,no
2017,1500,Alam,Service Residence,2,2,2,732,Partially Furnished,Selangor,,,
2018,2200,Klang,Service Residence,3,2,2,1256,Fully Furnished,Selangor,11,,
,950,Kembangan,Apartment,3,1,2,870,Partially Furnished,Selangor,14,5,yes
,900,Kembangan,Apartment,1,1,1,450,Partially Furnished,Selangor,14,5,yes
,900,Alam,Apartment,1,,1,475,Not Furnished,Selangor,,,
2018,1600,Kajang,Condominium,4,,4,1250,Partially Furnished,Selangor,,1,no
,950,Damai,Apartment,3,1,2,850,Not Furnished,Selangor,6,1,no
,2500,Puchong,Service Residence,3,2,2,990,Fully Furnished,Selangor,10,3,no
,750,Ampang,Apartment,3,,2,700,Not Furnished,Selangor,5,2,yes
2015,1100,Cyberjaya,Service Residence,4,,2,700,Fully Furnished,Selangor,6,5,yes
,850,Klang,Apartment,3,2,2,900,Not Furnished,Selangor,4,,
2017,950,Cyberjaya,Service Residence,1,,1,575,Fully Furnished,Selangor,,5,yes
,1600,Caves,Apartment,3,,2,991,Fully Furnished,Selangor,8,4,yes
2016,1500,Cheras,Condominium,3,,2,1250,Fully Furnished,Selangor,4,,
2018,1700,Klang,Service Residence,3,2,2,850,Fully Furnished,Selangor,11,,
2018,1300,Klang,Service Residence,2,2,1,635,Not Furnished,Selangor,,,
2018,1400,Klang,Service Residence,3,2,2,830,Partially Furnished,Selangor,11,,
,2100,Klang,Condominium,3,2,2,1290,Fully Furnished,Selangor,1,,
2008,2200,Damansara,Condominium,3,1,3,1241,Not Furnished,Selangor,9,2,yes
,1099,Alam,Apartment,3,2,2,850,Not Furnished,Selangor,8,1,no
2015,1650,Kajang,Service Residence,3,2,2,1050,Fully Furnished,Selangor,,,
2019,1200,Kajang,Service Residence,1,1,1,455,Fully Furnished,Selangor,,,
2019,1200,Kajang,Service Residence,1,1,1,455,Fully Furnished,Selangor,,,
,1200,Kajang,Condominium,3,,2,1250,Fully Furnished,Selangor,9,3,no
,900,Kembangan,Apartment,3,1,2,850,Partially Furnished,Selangor,5,,
,900,Kembangan,Apartment,3,1,2,850,Partially Furnished,Selangor,6,2,yes
2022,601,Kajang,Condominium,2,,1,584,Not Furnished,Selangor,7,1,no
,1450,Puchong,Condominium,3,1,3,850,Fully Furnished,Selangor,6,3,no
2016,1700,Jaya,Service Residence,2,2,2,916,Partially Furnished,Selangor,10,,
,1100,Kajang,Condominium,3,,2,1250,Partially Furnished,Selangor,,,
2015,900,Perdana,Condominium,3,1,2,850,Partially Furnished,Selangor,5,1,no
,1600,Sepang,Apartment,3,2,2,850,Partially Furnished,Selangor,9,1,no
2017,1000,Kajang,Apartment,3,1,2,1055,Partially Furnished,Selangor,3,1,no
2003,1800,Damansara,Condominium,3,1,2,1044,Fully Furnished,Selangor,6,4,yes
2021,1200,Jaya,Apartment,3,1,2,852,Fully Furnished,Selangor,7,5,yes
2018,1800,Klang,Service Residence,3,2,2,950,Partially Furnished,Selangor,,,
2018,1300,Klang,Service Residence,2,,2,780,Not Furnished,Selangor,,,
2018,1600,Klang,Service Residence,3,2,2,890,Partially Furnished,Selangor,,,
2021,1900,Cyberjaya,Condominium,3,2,2,1010,Fully Furnished,Selangor,9,4,yes
,1100,Cyberjaya,Service Residence,3,,2,1021,Fully Furnished,Selangor,8,,
,900,Kembangan,Apartment,3,1,2,850,Not Furnished,Selangor,5,,
,1300,Cheras,Apartment,3,1,2,1000,Partially Furnished,Selangor,14,5,yes
2007,750,Heights,Apartment,3,,1,650,Not Furnished,Selangor,1,,
,1200,Alam,Apartment,3,2,2,1000,Not Furnished,Selangor,4,1,no
,1000,Kajang,Condominium,3,2,3,1082,Fully Furnished,Selangor,10,,
2013,1400,Kajang,Condominium,3,2,2,1101,Partially Furnished,Selangor,7,,
2015,950,Kembangan,Condominium,1,1,1,460,Not Furnished,Selangor,11,2,no
,1300,Kembangan,Condominium,2,2,2,750,Fully Furnished,Selangor,6,,
2016,2350,Jaya,Service Residence,3,1,2,907,Fully Furnished,Selangor,5,,
2015,1399,Alam,Service Residence,3,2,2,850,Partially Furnished,Selangor,7,2,no
2011,1000,Ampang,Service Residence,3,1,2,854,Not Furnished,Selangor,5,1,yes
,1800,Ampang,Condominium,3,1,2,1100,Fully Furnished,Selangor,6,2,no
,2600,Cyberjaya,Condominium,3,2,2,1600,Fully Furnished,Selangor,9,2,no
2007,1400,Puchong,Apartment,3,1,2,1068,Partially Furnished,Selangor,7,2,no
2013,1000,Cyberjaya,Condominium,1,1,1,500,Partially Furnished,Selangor,8,5,yes
2013,1700,Cyberjaya,Condominium,3,2,2,900,Fully Furnished,Selangor,7,3,no
2004,800,Kembangan,Condominium,3,1,2,794,Not Furnished,Selangor,6,2,yes
2018,2300,Cyberjaya,Service Residence,3,2,2,990,Fully Furnished,Selangor,14,5,yes
,1000,Kajang,Apartment,3,1,2,780,Partially Furnished,Selangor,,,
2001,750,Kajang,Condominium,3,1,2,857,Partially Furnished,Selangor,7,2,yes
2019,1350,Cheras,Service Residence,1,1,1,359,Fully Furnished,Selangor,9,4,yes
2017,1400,Cyberjaya,Service Residence,2,,2,929,Fully Furnished,Selangor,12,5,yes
2015,1250,Cyberjaya,Condominium,2,,2,700,Fully Furnished,Selangor,14,5,yes
2015,1000,Cyberjaya,Service Residence,1,,1,450,Fully Furnished,Selangor,14,5,yes
,1000,Alam,Apartment,3,1,2,850,Partially Furnished,Selangor,5,2,no
2020,2300,Alam,Service Residence,3,2,2,985,Partially Furnished,Selangor,12,,
2020,2500,Alam,Service Residence,2,,2,858,Fully Furnished,Selangor,12,,
,1100,Damansara,Apartment,3,1,2,750,Partially Furnished,Selangor,2,,
2014,1450,Alam,Apartment,3,,2,820,Not Furnished,Selangor,11,2,yes
,999,Balakong,Apartment,3,1,2,1072,Partially Furnished,Selangor,5,,
2018,1300,Cheras,Condominium,3,2,2,1080,Partially Furnished,Selangor,6,2,no
2020,1200,Sepang,Condominium,3,1,2,818,Partially Furnished,Selangor,9,3,yes
2013,999,Cyberjaya,Condominium,1,,1,500,Fully Furnished,Selangor,7,1,no
2008,1300,Selayang,Condominium,3,1,2,1010,Partially Furnished,Selangor,7,,
2017,1800,Caves,Service Residence,3,1,2,850,Fully Furnished,Selangor,7,,
,1950,Kembangan,Condominium,4,2,3,1600,Fully Furnished,Selangor,10,4,yes
2021,950,Jaya,Apartment,3,1,2,852,Not Furnished,Selangor,4,1,no
,1800,Klang,Condominium,3,2,2,883,Fully Furnished,Selangor,11,3,no
,1800,Klang,Condominium,3,2,2,883,Fully Furnished,Selangor,12,3,no
,1200,Puchong,Apartment,3,1,2,950,Not Furnished,Selangor,7,2,no
,1700,Kembangan,Service Residence,2,2,2,752,Fully Furnished,Selangor,8,4,yes
,800,Kajang,Apartment,2,2,2,1063,Partially Furnished,Selangor,7,,
2018,900,Jenjarom,Service Residence,1,1,1,610,Not Furnished,Selangor,14,,
2015,1000,Alam,Studio,1,1,1,486,Partially Furnished,Selangor,12,3,no
2020,850,Kajang,Condominium,3,2,2,860,Partially Furnished,Selangor,7,3,yes
2014,1300,Alam,Service Residence,1,1,1,450,Partially Furnished,Selangor,8,2,no
2016,1700,Cyberjaya,Studio,1,1,1,600,Fully Furnished,Selangor,7,4,no
2019,1800,Damai,Service Residence,3,2,2,685,Partially Furnished,Selangor,10,3,yes
2016,1500,Puchong,Condominium,3,,2,1200,Not Furnished,Selangor,9,2,no
2014,550,Alam,Service Residence,1,,1,200,Not Furnished,Selangor,6,1,no
,1299,Cyberjaya,Service Residence,3,1,2,975,Fully Furnished,Selangor,8,2,no
,600,Caves,Apartment,3,,1,650,Not Furnished,Selangor,3,,
,950,Kembangan,Apartment,3,1,2,850,Partially Furnished,Selangor,8,2,yes
2003,1500,Damansara,Condominium,3,2,2,1044,Fully Furnished,Selangor,14,,
,1650,Jaya,Service Residence,2,1,2,581,Fully Furnished,Selangor,3,2,no
,1248,Kajang,Condominium,3,2,3,1022,Partially Furnished,Selangor,7,3,yes
2017,1000,Semenyih,Service Residence,3,2,2,893,Not Furnished,Selangor,10,,
2019,1800,Kajang,Service Residence,3,2,2,1163,Fully Furnished,Selangor,11,3,no
2004,1000,Kembangan,Condominium,1,1,1,465,Fully Furnished,Selangor,5,3,no
,1400,Kembangan,Service Residence,2,2,2,881,Partially Furnished,Selangor,8,4,yes
,1300,Kajang,Condominium,3,2,3,1022,Partially Furnished,Selangor,5,,
,2500,Jaya,Service Residence,3,2,2,877,Fully Furnished,Selangor,6,4,yes
2016,1600,Kembangan,Service Residence,3,2,2,1000,Fully Furnished,Selangor,4,3,no
,850,Kembangan,Apartment,3,1,2,800,Partially Furnished,Selangor,2,2,no
2022,850,Kajang,Condominium,2,1,1,587,Partially Furnished,Selangor,7,2,no
2013,1400,Kajang,Condominium,3,,2,1101,Fully Furnished,Selangor,7,4,yes
